countrycode, input_adm_area_1, input_adm_area_2, input_adm_area_3, adm_area_1, adm_area_2, adm_area_3, gid
POL,Cały kraj,,,,,,POL
POL,dolnośląskie,,,Dolnośląskie,,,POL.1_1
POL,kujawsko-pomorskie,,,Kujawsko-Pomorskie,,,POL.2_1
POL,lubelskie,,,Lubelskie,,,POL.4_1
POL,lubuskie,,,Lubuskie,,,POL.5_1
POL,łódzkie,,,Łódzkie,,,POL.3_1
POL,małopolskie,,,Małopolskie,,,POL.6_1
POL,mazowieckie,,,Mazowieckie,,,POL.7_1
POL,opolskie,,,Opolskie,,,POL.8_1
POL,podkarpackie,,,Podkarpackie,,,POL.9_1
POL,podlaskie,,,Podlaskie,,,POL.10_1
POL,pomorskie,,,Pomorskie,,,POL.11_1
POL,śląskie,,,Śląskie,,,POL.12_1
POL,świętokrzyskie,,,Świętokrzyskie,,,POL.13_1
POL,warmińsko-mazurskie,,,Warmińsko-Mazurskie,,,POL.14_1
POL,wielkopolskie,,,Wielkopolskie,,,POL.15_1
POL,zachodniopomorskie,,,Zachodniopomorskie,,,POL.16_1
POL,dolnośląskie,bolesławiecki,,Dolnośląskie,Bolesławiec,,POL.1.1_1
POL,dolnośląskie,dzierżoniowski,,Dolnośląskie,Dzierżoniów,,POL.1.2_1
POL,dolnośląskie,głogowski,,Dolnośląskie,Głogów,,POL.1.3_1
POL,dolnośląskie,górowski,,Dolnośląskie,Góra,,POL.1.4_1
POL,dolnośląskie,jaworski,,Dolnośląskie,Jawor,,POL.1.5_1
POL,dolnośląskie,jeleniogórski,,Dolnośląskie,Jelenia Góra,,POL.1.7_1
POL,dolnośląskie,kamiennogórski,,Dolnośląskie,Kamienna Góra,,POL.1.8_1
POL,dolnośląskie,kłodzki,,Dolnośląskie,Kłodzko,,POL.1.9_1
POL,dolnośląskie,legnicki,,Dolnośląskie,Legnica,,POL.1.11_1
POL,dolnośląskie,lubański,,Dolnośląskie,Lubań,,POL.1.12_1
POL,dolnośląskie,lubiński,,Dolnośląskie,Lubiń,,POL.1.13_1
POL,dolnośląskie,lwówecki,,Dolnośląskie,Lwówek Śląski,,POL.1.14_1
POL,dolnośląskie,milicki,,Dolnośląskie,Milicz,,POL.1.15_1
POL,dolnośląskie,oleśnicki,,Dolnośląskie,Oleśnica,,POL.1.17_1
POL,dolnośląskie,oławski,,Dolnośląskie,Oława,,POL.1.16_1
POL,dolnośląskie,polkowicki,,Dolnośląskie,Polkowice,,POL.1.18_1
POL,dolnośląskie,strzeliński,,Dolnośląskie,Strzelin,,POL.1.20_1
POL,dolnośląskie,średzki,,Dolnośląskie,Środa Śląska,,POL.1.19_1
POL,dolnośląskie,świdnicki,,Dolnośląskie,Świdnica,,POL.1.21_1
POL,dolnośląskie,trzebnicki,,Dolnośląskie,Trzebnica,,POL.1.22_1
POL,dolnośląskie,wałbrzyski,,Dolnośląskie,Wałbrzych,,POL.1.23_1
POL,dolnośląskie,wołowski,,Dolnośląskie,Wołów,,POL.1.24_1
POL,dolnośląskie,wrocławski,,Dolnośląskie,Wrocław,,POL.1.26_1
POL,dolnośląskie,ząbkowicki,,Dolnośląskie,Ząbkowice Śląskie,,POL.1.27_1
POL,dolnośląskie,zgorzelecki,,Dolnośląskie,Zgorzelec,,POL.1.28_1
POL,dolnośląskie,złotoryjski,,Dolnośląskie,Złotoryja,,POL.1.29_1
POL,dolnośląskie,Jelenia Góra,,Dolnośląskie,Jelenia Góra (City),,POL.1.6_1
POL,dolnośląskie,Legnica,,Dolnośląskie,Legnica (City),,POL.1.10_1
POL,dolnośląskie,Wrocław,,Dolnośląskie,Wrocław (City),,POL.1.25_1
POL,dolnośląskie,Wałbrzych,,Dolnośląskie,Wałbrzych (City),,POL.1.23_1b
POL,kujawsko-pomorskie,aleksandrowski,,Kujawsko-Pomorskie,Aleksandrów,,POL.2.1_1
POL,kujawsko-pomorskie,brodnicki,,Kujawsko-Pomorskie,Brodnica,,POL.2.2_1
POL,kujawsko-pomorskie,bydgoski,,Kujawsko-Pomorskie,Bydgoszcz,,POL.2.4_1
POL,kujawsko-pomorskie,chełmiński,,Kujawsko-Pomorskie,Chełmno,,POL.2.5_1
POL,kujawsko-pomorskie,golubsko-dobrzyński,,Kujawsko-Pomorskie,Golub-Dobrzyń,,POL.2.6_1
POL,kujawsko-pomorskie,grudziądzki,,Kujawsko-Pomorskie,Grudziądz,,POL.2.8_1
POL,kujawsko-pomorskie,inowrocławski,,Kujawsko-Pomorskie,Inowrocław,,POL.2.9_1
POL,kujawsko-pomorskie,lipnowski,,Kujawsko-Pomorskie,Lipno,,POL.2.10_1
POL,kujawsko-pomorskie,mogileński,,Kujawsko-Pomorskie,Mogilno,,POL.2.11_1
POL,kujawsko-pomorskie,nakielski,,Kujawsko-Pomorskie,Nakło,,POL.2.12_1
POL,kujawsko-pomorskie,radziejowski,,Kujawsko-Pomorskie,Radziejów,,POL.2.13_1
POL,kujawsko-pomorskie,rypiński,,Kujawsko-Pomorskie,Rypin,,POL.2.14_1
POL,kujawsko-pomorskie,sępoleński,,Kujawsko-Pomorskie,Sępólno,,POL.2.15_1
POL,kujawsko-pomorskie,świecki,,Kujawsko-Pomorskie,Świecie,,POL.2.16_1
