source,date,country,countrycode,adm_area_1,adm_area_2,tested,confirmed,dead
GBR_NIDH,25/06/2020,United Kingdom,GBR,Northern Ireland,Antrim and Newtownabbey,8032,456,57
GBR_NIDH,25/06/2020,United Kingdom,GBR,Northern Ireland,Ards and North Down,8962,444,44
GBR_NIDH,25/06/2020,United Kingdom,GBR,Northern Ireland,"Armagh City, Banbridge and Craigavon",11821,754,59
GBR_NIDH,25/06/2020,United Kingdom,GBR,Northern Ireland,Belfast,18891,1406,161
GBR_NIDH,25/06/2020,United Kingdom,GBR,Northern Ireland,Causeway Coast and Glens,6375,276,38
GBR_NIDH,25/06/2020,United Kingdom,GBR,Northern Ireland,Derry City and Strabane,7152,212,21
GBR_NIDH,25/06/2020,United Kingdom,GBR,Northern Ireland,Fermanagh and Omagh,5906,179,10
GBR_NIDH,25/06/2020,United Kingdom,GBR,Northern Ireland,Lisburn and Castlereagh,8061,505,47
GBR_NIDH,25/06/2020,United Kingdom,GBR,Northern Ireland,Mid and East Antrim,6793,379,42
GBR_NIDH,25/06/2020,United Kingdom,GBR,Northern Ireland,Mid Ulster,7315,413,30
GBR_NIDH,25/06/2020,United Kingdom,GBR,Northern Ireland,"Newry, Mourne and Down",8806,350,33
GBR_NIDH,25/06/2020,United Kingdom,GBR,Northern Ireland,Unknown,4050,350,5
GBR_NIDH,25/06/2020,United Kingdom,GBR,Northern Ireland,,102164,5724,547
GBR_NIDH,26/06/2020,United Kingdom,GBR,Northern Ireland,Antrim and Newtownabbey,8445,459,57
GBR_NIDH,26/06/2020,United Kingdom,GBR,Northern Ireland,Ards and North Down,9378,450,44
GBR_NIDH,26/06/2020,United Kingdom,GBR,Northern Ireland,"Armagh City, Banbridge and Craigavon",12231,748,59
GBR_NIDH,26/06/2020,United Kingdom,GBR,Northern Ireland,Belfast,19548,1411,161
GBR_NIDH,26/06/2020,United Kingdom,GBR,Northern Ireland,Causeway Coast and Glens,6661,276,38
GBR_NIDH,26/06/2020,United Kingdom,GBR,Northern Ireland,Derry City and Strabane,7426,212,21
GBR_NIDH,26/06/2020,United Kingdom,GBR,Northern Ireland,Fermanagh and Omagh,6153,179,10
GBR_NIDH,26/06/2020,United Kingdom,GBR,Northern Ireland,Lisburn and Castlereagh,8422,508,47
GBR_NIDH,26/06/2020,United Kingdom,GBR,Northern Ireland,Mid and East Antrim,7295,387,42
GBR_NIDH,26/06/2020,United Kingdom,GBR,Northern Ireland,Mid Ulster,7507,412,30
GBR_NIDH,26/06/2020,United Kingdom,GBR,Northern Ireland,"Newry, Mourne and Down",9200,356,33
GBR_NIDH,26/06/2020,United Kingdom,GBR,Northern Ireland,Unknown,4108,350,6
GBR_NIDH,26/06/2020,United Kingdom,GBR,Northern Ireland,,106374,5748,548
GBR_NIDH,27/06/2020,United Kingdom,GBR,Northern Ireland,Antrim and Newtownabbey,8582,459,58
GBR_NIDH,27/06/2020,United Kingdom,GBR,Northern Ireland,Ards and North Down,9531,450,44
